Period,Quarter,FL US Equity,Units_per_Quarter,Units_per_Quarter_Scaled,Units_per_Quarter_100k
02/02/08,Q1 2008,34.5865,691730.0,69,7
03/05/08,Q2 2008,29.5159,590318.0,59,6
02/08/08,Q3 2008,29.4533,589066.0,59,6
01/11/08,Q4 2008,29.8602,597204.0,60,6
31/01/09,Q1 2009,29.3907,587814.0,59,6
02/05/09,Q2 2009,26.918,538360.0,54,5
01/08/09,Q3 2009,25.6347,512694.0,51,5
31/10/09,Q4 2009,27.7005,554010.0,55,6
30/01/10,Q1 2010,29.9854,599708.0,60,6
01/05/10,Q2 2010,27.7944,555888.0,56,6
31/07/10,Q3 2010,24.7583,495166.0,50,5
30/10/10,Q4 2010,27.9196,558392.0,56,6
29/01/11,Q1 2011,30.1106,602212.0,60,6
30/04/11,Q2 2011,30.5801,611602.0,61,6
30/07/11,Q3 2011,27.7631,555262.0,56,6
29/10/11,Q4 2011,29.4533,589066.0,59,6
28/01/12,Q1 2012,31.9886,639772.0,64,6
28/04/12,Q2 2012,32.5833,651666.0,65,7
28/07/12,Q3 2012,29.3907,587814.0,59,6
27/10/12,Q4 2012,31.8947,637894.0,64,6
02/02/13,Q1 2013,35.9637,719274.0,72,7
04/05/13,Q2 2013,33.7101,674202.0,67,7
03/08/13,Q3 2013,31.3313,626626.0,63,6
02/11/13,Q4 2013,33.9605,679210.0,68,7
01/02/14,Q1 2014,37.8417,756834.0,76,8
03/05/14,Q2 2014,38.2486,764972.0,76,8
02/08/14,Q3 2014,34.9308,698616.0,70,7
01/11/14,Q4 2014,36.2141,724282.0,72,7
31/01/15,Q1 2015,40.1266,802532.0,80,8
02/05/15,Q2 2015,38.9998,779996.0,78,8
01/08/15,Q3 2015,35.7446,714892.0,71,7
31/10/15,Q4 2015,37.1531,743062.0,74,7
30/01/16,Q1 2016,41.6916,833832.0,83,8
30/04/16,Q2 2016,40.4083,808166.0,81,8
30/07/16,Q3 2016,37.3409,746818.0,75,7
29/10/16,Q4 2016,38.9998,779996.0,78,8
28/01/17,Q1 2017,43.82,876400.0,88,9
29/04/17,Q2 2017,41.3473,826946.0,83,8
29/07/17,Q3 2017,37.4974,749948.0,75,7
28/10/17,Q4 2017,40.377,807540.0,81,8
03/02/18,Q1 2018,47.4821,949642.0,95,9
05/05/18,Q2 2018,42.5367,850734.0,85,9
04/08/18,Q3 2018,38.9059,778118.0,78,8
03/11/18,Q4 2018,39.8136,796272.0,80,8
02/02/19,Q1 2019,48.1081,962162.0,96,10
04/05/19,Q2 2019,43.4757,869514.0,87,9
03/08/19,Q3 2019,38.812,776240.0,78,8
02/11/19,Q4 2019,41.0656,821312.0,82,8
01/02/20,Q1 2020,47.6073,952146.0,95,10
02/05/20,Q2 2020,28.3265,566530.0,57,6
01/08/20,Q3 2020,48.1707,963414.0,96,10
31/10/20,Q4 2020,45.5728,911456.0,91,9
30/01/21,Q1 2021,45.8545,917090.0,92,9
01/05/21,Q2 2021,43.9452,878904.0,88,9
31/07/21,Q3 2021,46.2301,924602.0,92,9
30/10/21,Q4 2021,44.7277,894554.0,89,9
29/01/22,Q1 2022,49.0784,981568.0,98,10
30/04/22,Q2 2022,44.9155,898310.0,90,9
30/07/22,Q3 2022,44.1643,883286.0,88,9
29/10/22,Q4 2022,46.2301,924602.0,92,9
28/01/23,Q1 2023,51.0816,1021632.0,102,10
29/04/23,Q2 2023,42.2237,844474.0,84,8
29/07/23,Q3 2023,42.4741,849482.0,85,8
28/10/23,Q4 2023,45.1659,903318.0,90,9
03/02/24,Q1 2024,54.6498,1092996.0,109,11
04/05/24,Q2 2024,41.7855,835710.0,84,8
03/08/24,Q3 2024,42.9749,859498.0,86,9
02/11/24,Q4 2024,43.1314,862628.0,86,9
01/02/25,Q1 2025,49.454,989080.0,99,10
