Metric,Traditional,Blockchain,Difference,% Change
Total Cost,6112.0,3191.0,-2921.0,-47.79
Avg Inventory - Retailer,0.0,0.0,0.0,
Avg Inventory - Wholesaler,0.0,0.0,0.0,
Avg Inventory - Distributor,0.0,0.0,0.0,
Avg Inventory - Factory,0.0,0.0,0.0,
Avg Backlog - Retailer,1.2173913043478262,1.2173913043478262,0.0,0.0
Avg Backlog - Wholesaler,2.347826086956522,3.0,0.652173913043478,27.78
Avg Backlog - Distributor,2.9565217391304346,6.304347826086956,3.3478260869565215,113.24
Avg Backlog - Factory,0.4782608695652174,3.4347826086956523,2.956521739130435,618.18
Bullwhip - Retailer,5.687103707990967,6.249309032211384,0.5622053242204172,9.89
Bullwhip - Wholesaler,11.114362439286944,11.781331490724899,0.6669690514379543,6.0
Bullwhip - Distributor,23.647858519455504,17.15058257337718,-6.497275946078325,-27.48
Bullwhip - Factory,21.615928971373698,22.11754425792762,0.5016152865539212,2.32
